NAME,Code,CLASS,X,Y
Haverty's,U3,Urban,-83.478334,33.941778
Rosemans,R2,Rural,-83.482073,33.964476
Lizzie's House,S2,Suburban,-83.361401,33.919393
Broad,U1,Urban,-83.374363,33.957583
Ecology,U2,Urban,-83.373775,33.94453
Vet Dean's House,S3,Suburban,-83.379302,33.935821
Whitehall,R1,Rural,-83.357012,33.891055
Pig Place,R3,Rural,-83.244128,33.889632
Jenny Bloodgood's House,S1,Suburban,-83.400954,33.955707
