Tray_ID,Pot_ID
U1T1,U1A2
U1T2,U1A3
U1T3,U1A4
U1T4,U1A6
R3T1,R3A1
R3T2,R3A3
R3T3,R3A5
R3T4,R3A6
U3T1,U3A1
U3T2,U3A2
U3T3,U3A4
U3T4,U3A6
R2T1,R2A3
R2T2,R2A1
R2T3,R2A5
R2T4,R2A4
S1T1,S1A1
S1T2,S1A4
S1T3,S1A3
S1T4,S1A6
S2T1,S2A6
S2T2,S2A4
S2T3,S2A5
S2T4,S2A2
S3T1,S3A1
S3T2,S3A2
S3T3,S3A4
S3T4,S3A6
R1T1,R1A1
R1T2,R1A5
R1T3,R1A6
R1T4,R1A4
U2T1,U2A2
U2T2,U2A5
U2T3,U2A6
U2T4,U2A3
