Time,CH 1 °C,Alm 1,Alm 2,Alm 3,Alm 4, ./U2L2.csv
09/22/2016 16:50:03,24.0,,,,, ./U2L2.csv
09/22/2016 17:00:03,24.0,,,,, ./U2L2.csv
09/22/2016 17:10:03,24.0,,,,, ./U2L2.csv
09/22/2016 17:20:03,24.0,,,,, ./U2L2.csv
09/22/2016 17:30:03,23.5,,,,, ./U2L2.csv
09/22/2016 17:40:03,23.0,,,,, ./U2L2.csv
09/22/2016 17:50:03,23.0,,,,, ./U2L2.csv
09/22/2016 18:00:03,22.5,,,,, ./U2L2.csv
09/22/2016 18:10:03,22.5,,,,, ./U2L2.csv
09/22/2016 18:20:03,22.5,,,,, ./U2L2.csv
09/22/2016 18:30:03,22.0,,,,, ./U2L2.csv
09/22/2016 18:40:03,22.0,,,,, ./U2L2.csv
09/22/2016 18:50:03,22.0,,,,, ./U2L2.csv
09/22/2016 19:00:03,22.0,,,,, ./U2L2.csv
09/22/2016 19:10:03,22.0,,,,, ./U2L2.csv
09/22/2016 19:20:03,22.0,,,,, ./U2L2.csv
09/22/2016 19:30:03,22.0,,,,, ./U2L2.csv
09/22/2016 19:40:03,21.5,,,,, ./U2L2.csv
09/22/2016 19:50:03,21.5,,,,, ./U2L2.csv
09/22/2016 20:00:03,21.5,,,,, ./U2L2.csv
09/22/2016 20:10:03,21.5,,,,, ./U2L2.csv
09/22/2016 20:20:03,22.0,,,,, ./U2L2.csv
09/22/2016 20:30:03,22.0,,,,, ./U2L2.csv
09/22/2016 20:40:03,22.0,,,,, ./U2L2.csv
09/22/2016 20:50:03,21.5,,,,, ./U2L2.csv
09/22/2016 21:00:03,22.0,,,,, ./U2L2.csv
09/22/2016 21:10:03,22.0,,,,, ./U2L2.csv
09/22/2016 21:20:03,21.5,,,,, ./U2L2.csv
09/22/2016 21:30:03,21.5,,,,, ./U2L2.csv
09/22/2016 21:40:03,22.0,,,,, ./U2L2.csv
09/22/2016 21:50:03,22.0,,,,, ./U2L2.csv
09/22/2016 22:00:03,22.0,,,,, ./U2L2.csv
09/22/2016 22:10:03,22.0,,,,, ./U2L2.csv
09/22/2016 22:20:03,22.0,,,,, ./U2L2.csv
09/22/2016 22:30:03,22.0,,,,, ./U2L2.csv
09/22/2016 22:40:03,21.5,,,,, ./U2L2.csv
09/22/2016 22:50:03,21.5,,,,, ./U2L2.csv
09/22/2016 23:00:03,21.5,,,,, ./U2L2.csv
09/22/2016 23:10:03,21.5,,,,, ./U2L2.csv
09/22/2016 23:20:03,22.0,,,,, ./U2L2.csv
09/22/2016 23:30:03,21.5,,,,, ./U2L2.csv
09/22/2016 23:40:03,21.5,,,,, ./U2L2.csv
09/22/2016 23:50:03,21.5,,,,, ./U2L2.csv
09/23/2016 00:00:03,21.5,,,,, ./U2L2.csv
09/23/2016 00:10:03,21.5,,,,, ./U2L2.csv
09/23/2016 00:20:03,21.5,,,,, ./U2L2.csv
09/23/2016 00:30:03,21.5,,,,, ./U2L2.csv
09/23/2016 00:40:03,21.5,,,,, ./U2L2.csv
09/23/2016 00:50:03,21.5,,,,, ./U2L2.csv
09/23/2016 01:00:03,21.5,,,,, ./U2L2.csv
09/23/2016 01:10:03,21.5,,,,, ./U2L2.csv
09/23/2016 01:20:03,21.5,,,,, ./U2L2.csv
09/23/2016 01:30:03,21.5,,,,, ./U2L2.csv
09/23/2016 01:40:03,21.5,,,,, ./U2L2.csv
09/23/2016 01:50:03,21.5,,,,, ./U2L2.csv
09/23/2016 02:00:03,21.5,,,,, ./U2L2.csv
09/23/2016 02:10:03,21.5,,,,, ./U2L2.csv
09/23/2016 02:20:03,21.5,,,,, ./U2L2.csv
09/23/2016 02:30:03,21.5,,,,, ./U2L2.csv
09/23/2016 02:40:03,21.5,,,,, ./U2L2.csv
09/23/2016 02:50:03,21.5,,,,, ./U2L2.csv
09/23/2016 03:00:03,21.5,,,,, ./U2L2.csv
09/23/2016 03:10:03,21.5,,,,, ./U2L2.csv
